id_cliente,nombre,apellidos,sexo,edad,ciudad,provincia,codigo_postal,fecha_alta,socio,tipo_cliente
59,Sergio,Martínez Martín,Mujer,57,Gijón,Asturias,48295,2023-12-27,True,Frecuente
60,Miguel,García Díaz,Mujer,52,Barcelona,Barcelona,46541,2022-01-31,True,Normal
61,Alejandro,Martín Castro,Mujer,49,Barcelona,Barcelona,35057,2022-12-03,True,Normal
62,David,Gómez Jiménez,Hombre,59,Bilbao,Bizkaia,02447,2022-07-02,True,Normal
63,Elena,López Torres,Hombre,51,Pamplona,Navarra,20583,2024-11-12,False,Ocasional
64,David,Ruiz Moreno,Mujer,60,Vigo,Pontevedra,23765,2023-06-28,True,Normal
65,María,Ruiz Álvarez,Hombre,42,Oviedo,Asturias,24906,2024-10-30,False,Normal
66,Sergio,Castro Romero,Mujer,27,Santander,Cantabria,20567,2023-10-22,True,Normal
67,Claudia,Álvarez Navarro,Mujer,38,Logroño,La Rioja,15139,2022-06-09,False,Frecuente
68,Claudia,Fernández Ortega,Mujer,63,A Coruña,A Coruña,47525,2024-11-03,False,Ocasional
69,Ana,García García,Mujer,56,Madrid,Madrid,39230,2023-02-16,True,Frecuente
70,María,Vázquez Ruiz,Mujer,44,Pamplona,Navarra,20520,2024-10-08,True,Ocasional
71,Miguel,Gómez Martín,Hombre,44,Bilbao,Bizkaia,20702,2022-02-22,False,Normal
72,Paula,Martín Vázquez,Mujer,19,Valencia,Valencia,52934,2023-02-12,True,Frecuente
73,Lucía,García García,Hombre,58,Vigo,Pontevedra,26566,2024-04-26,False,Frecuente
74,Paula,López Fernández,Hombre,65,Santander,Cantabria,08657,2024-11-11,True,Ocasional
75,Sara,Martín García,Mujer,30,Vigo,Pontevedra,38688,2024-11-19,False,Normal
76,Lucía,Romero García,Mujer,26,Bilbao,Bizkaia,31134,2023-12-04,True,Normal
77,Álvaro,Sánchez Jiménez,Mujer,69,Alicante,Alicante,11345,2022-09-17,False,Normal
78,Álvaro,López Muñoz,Mujer,53,A Coruña,A Coruña,42185,2024-12-18,False,Frecuente
79,Carmen,Castro García,Mujer,39,Alicante,Alicante,50928,2024-02-15,False,Normal
80,Pablo,García Muñoz,Hombre,59,Valencia,Valencia,28413,2024-11-01,True,Frecuente
81,Julia,Romero Ortega,Mujer,43,Málaga,Málaga,06208,2024-04-29,False,Ocasional
82,María,Martín Gómez,Mujer,75,León,León,34455,2022-12-20,True,Normal
83,Álvaro,Fernández Fernández,Hombre,71,Oviedo,Asturias,50681,2024-05-22,False,Normal
84,Julia,López Pérez,Hombre,29,Logroño,La Rioja,29018,2024-09-17,True,Frecuente
85,Laura,Álvarez Gómez,Mujer,34,Bilbao,Bizkaia,46991,2024-10-14,False,Normal
86,Jorge,Álvarez Álvarez,Hombre,31,Murcia,Murcia,09080,2022-10-21,True,Normal
87,Miguel,Díaz Vázquez,Mujer,31,Vigo,Pontevedra,22902,2022-07-28,False,Normal
88,Javier,Navarro Romero,Hombre,74,Burgos,Burgos,52305,2024-03-28,False,Normal
89,Carlos,Martínez Fernández,Hombre,51,Salamanca,Salamanca,10486,2023-01-25,False,Ocasional
90,Rubén,Ortega Ruiz,Mujer,70,Madrid,Madrid,39862,2022-11-21,True,Normal
91,Carlos,Sánchez Moreno,Hombre,74,Santander,Cantabria,22158,2024-07-28,True,Frecuente
92,Laura,Álvarez Torres,Hombre,37,Barcelona,Barcelona,41460,2024-06-07,False,Normal
93,Alejandro,Navarro Martín,Hombre,28,Alicante,Alicante,44856,2023-10-30,True,Normal
94,David,Vázquez Díaz,Hombre,33,Santander,Cantabria,36871,2023-09-25,True,Normal
95,Lucía,Gómez López,Hombre,68,Alicante,Alicante,36208,2023-07-31,False,Normal
96,Sofía,Ruiz Pérez,Hombre,48,Valencia,Valencia,21519,2022-05-17,False,Normal
97,Sergio,Gómez Jiménez,Mujer,72,Pamplona,Navarra,32379,2023-03-04,True,Normal
98,Sara,García Pérez,Mujer,23,Bilbao,Bizkaia,29378,2023-09-04,False,Normal
99,Marta,Castro Jiménez,Hombre,73,Salamanca,Salamanca,40892,2024-06-29,False,Frecuente
100,Lucía,Navarro Gómez,Mujer,36,Alicante,Alicante,50996,2024-03-29,True,Frecuente
101,Marta,Castro Jiménez,Mujer,54,A Coruña,A Coruña,15031,2022-05-21,False,Frecuente
102,Pablo,Martínez Vázquez,Mujer,75,León,León,15536,2022-06-26,True,Normal
103,Lucía,Vázquez Moreno,Hombre,21,Pamplona,Navarra,01446,2022-07-17,True,Normal
104,Pablo,Fernández Martín,Mujer,64,Alicante,Alicante,37683,2023-09-16,True,Normal
105,Carlos,García Martín,Hombre,78,Santander,Cantabria,49555,2023-11-22,True,Ocasional
106,Sergio,Romero Vázquez,Mujer,21,Gijón,Asturias,18618,2023-02-05,False,Normal
107,Lucía,Sánchez Ortega,Hombre,37,Salamanca,Salamanca,07587,2023-04-16,True,Normal
108,Daniel,Ortega Romero,Hombre,27,Alicante,Alicante,32480,2022-08-06,True,Normal
109,Jorge,Díaz Gómez,Mujer,41,Salamanca,Salamanca,33994,2024-07-17,True,Normal
110,Marta,Ruiz Díaz,Mujer,71,Bilbao,Bizkaia,21527,2023-09-24,True,Frecuente
111,María,Fernández Ortega,Hombre,52,Valladolid,Valladolid,24569,2024-08-08,True,Normal
112,Iván,López Navarro,Mujer,43,Salamanca,Salamanca,12151,2024-06-24,True,Frecuente
113,Carlos,Moreno Martínez,Mujer,54,Logroño,La Rioja,06558,2022-06-24,True,Ocasional
114,Rubén,Ortega Pérez,Mujer,55,A Coruña,A Coruña,45739,2022-01-23,False,Ocasional
115,Andrea,Sánchez López,Hombre,38,Murcia,Murcia,33954,2022-08-23,True,Normal
116,Sergio,Sánchez Jiménez,Hombre,71,Oviedo,Asturias,48448,2024-11-02,True,Ocasional
117,Miguel,Pérez Ruiz,Mujer,57,Alicante,Alicante,48327,2024-07-17,True,Ocasional
118,Laura,Jiménez Álvarez,Mujer,56,Logroño,La Rioja,44837,2023-06-07,False,Frecuente
119,Ana,Fernández Díaz,Mujer,38,Salamanca,Salamanca,36303,2023-03-07,True,Ocasional
120,Andrea,Moreno Vázquez,Hombre,27,Vigo,Pontevedra,35700,2024-03-03,True,Normal
121,Iván,López Moreno,Hombre,55,A Coruña,A Coruña,28500,2023-06-17,True,Ocasional
122,Miguel,Ortega Moreno,Mujer,63,Alicante,Alicante,03032,2024-09-05,False,Ocasional
123,Andrea,Moreno Muñoz,Mujer,21,Santander,Cantabria,02252,2024-03-20,True,Normal
124,Miguel,Torres Muñoz,Mujer,77,Valencia,Valencia,06509,2024-07-01,False,Frecuente
125,Daniel,Ruiz Castro,Mujer,74,Pamplona,Navarra,38842,2024-05-20,True,Normal
126,Iván,Álvarez Castro,Mujer,62,León,León,14900,2023-06-24,True,Normal
127,Laura,Torres Álvarez,Mujer,37,Logroño,La Rioja,15523,2024-10-20,False,Ocasional
128,Lucía,Vázquez Martínez,Hombre,34,Madrid,Madrid,02881,2022-08-15,True,Ocasional
129,Marta,Castro Muñoz,Mujer,72,A Coruña,A Coruña,34037,2024-05-22,False,Frecuente
130,Alejandro,Torres Martín,Hombre,24,Alicante,Alicante,02630,2024-06-10,False,Normal
131,Lucía,Álvarez Castro,Mujer,21,Zaragoza,Zaragoza,21789,2024-11-02,False,Normal
132,Claudia,Jiménez Moreno,Mujer,46,Bilbao,Bizkaia,23523,2022-07-29,True,Normal
133,Sofía,Martín Vázquez,Hombre,31,Logroño,La Rioja,18958,2024-01-11,False,Frecuente
134,Sofía,Fernández Pérez,Hombre,20,Alicante,Alicante,47151,2023-02-01,True,Normal
135,Javier,Muñoz Vázquez,Hombre,41,Logroño,La Rioja,49920,2022-01-31,False,Ocasional
136,Sofía,Gómez Castro,Hombre,54,Valencia,Valencia,44852,2024-06-16,False,Normal
137,Sergio,Jiménez Sánchez,Mujer,33,Valencia,Valencia,02695,2023-10-11,False,Normal
138,Carlos,Díaz Jiménez,Hombre,75,Pamplona,Navarra,15821,2022-11-25,True,Normal
139,Jorge,Álvarez López,Mujer,72,Barcelona,Barcelona,04262,2024-08-09,True,Normal
140,Rubén,Martínez Ruiz,Hombre,69,Logroño,La Rioja,02445,2023-09-13,True,Ocasional
141,Rubén,Muñoz Castro,Mujer,21,Alicante,Alicante,17436,2022-06-11,False,Ocasional
142,Javier,Fernández López,Mujer,73,Logroño,La Rioja,10949,2024-02-15,True,Normal
143,Sofía,Sánchez Romero,Mujer,79,Gijón,Asturias,24963,2022-10-01,True,Normal
144,Álvaro,Díaz García,Mujer,41,León,León,51818,2024-10-23,False,Normal
145,Javier,Pérez Gómez,Mujer,51,Gijón,Asturias,30932,2024-11-17,True,Normal
146,Paula,Vázquez Moreno,Mujer,47,Málaga,Málaga,07901,2022-11-22,True,Frecuente
147,Ana,Ruiz Torres,Hombre,35,Bilbao,Bizkaia,52937,2024-07-28,True,Normal
148,Paula,Martínez Ortega,Mujer,36,Zaragoza,Zaragoza,34487,2023-06-24,True,Normal
149,Ana,Jiménez Sánchez,Hombre,48,Alicante,Alicante,09597,2023-05-03,True,Frecuente
150,Iván,Pérez Martínez,Hombre,77,Burgos,Burgos,07855,2024-04-01,True,Normal
151,Jorge,Fernández Moreno,Mujer,77,Sevilla,Sevilla,19678,2024-12-24,True,Ocasional
152,Carmen,Torres Ortega,Hombre,36,Gijón,Asturias,09263,2022-12-22,True,Normal
153,Carmen,Sánchez Vázquez,Mujer,66,A Coruña,A Coruña,48288,2022-08-23,False,Frecuente
154,Pablo,Pérez Torres,Hombre,80,Sevilla,Sevilla,26805,2022-08-15,True,Normal
155,Sergio,Moreno Castro,Mujer,63,Bilbao,Bizkaia,27143,2022-02-18,True,Ocasional
156,Sergio,Ruiz Jiménez,Hombre,36,Málaga,Málaga,12874,2022-04-28,False,Normal
157,Alejandro,Pérez Martínez,Mujer,39,Madrid,Madrid,28529,2022-02-23,True,Normal
158,Laura,Martín Fernández,Mujer,41,Logroño,La Rioja,21866,2023-07-19,True,Normal
159,Pablo,Fernández Martínez,Mujer,62,Logroño,La Rioja,15079,2024-12-03,False,Normal
160,Andrea,Moreno Fernández,Mujer,29,Valencia,Valencia,50850,2022-02-22,False,Normal
161,Álvaro,Muñoz Romero,Hombre,47,Bilbao,Bizkaia,08243,2023-07-12,False,Normal
162,Alejandro,Gómez Fernández,Mujer,75,León,León,30872,2024-05-17,False,Normal
163,Marta,Ruiz Martínez,Hombre,55,Barcelona,Barcelona,10018,2023-02-02,False,Normal
164,María,Muñoz Pérez,Hombre,70,Madrid,Madrid,50500,2023-11-06,True,Normal
165,Laura,Torres Gómez,Hombre,48,Pamplona,Navarra,13100,2023-01-22,False,Frecuente
166,Elena,Álvarez Ruiz,Mujer,53,Murcia,Murcia,50459,2022-04-21,True,Ocasional
167,Julia,Fernández Castro,Hombre,36,Vigo,Pontevedra,20800,2023-09-06,False,Normal
168,David,Díaz Castro,Hombre,65,Pamplona,Navarra,27910,2022-01-17,True,Frecuente
169,Lucía,García Moreno,Hombre,62,Málaga,Málaga,30437,2024-06-02,True,Frecuente
170,Miguel,Castro López,Mujer,53,Málaga,Málaga,38588,2023-06-25,True,Normal
171,David,Martínez Muñoz,Mujer,47,Alicante,Alicante,12001,2022-06-20,False,Normal
172,Claudia,Castro Vázquez,Hombre,72,Vigo,Pontevedra,47675,2023-02-13,True,Frecuente
173,Elena,Díaz Martín,Mujer,66,Vigo,Pontevedra,20942,2024-01-10,False,Normal
174,Jorge,Martín Romero,Mujer,72,Logroño,La Rioja,21862,2024-05-07,False,Normal
175,Carlos,Díaz García,Hombre,50,Salamanca,Salamanca,12669,2022-08-18,True,Normal
176,Jorge,Martínez López,Hombre,35,A Coruña,A Coruña,16916,2022-04-29,False,Frecuente
177,Álvaro,Torres Martín,Mujer,80,Pamplona,Navarra,11878,2024-02-23,False,Normal
178,Carlos,Gómez Martínez,Hombre,69,Salamanca,Salamanca,03985,2023-04-10,False,Normal
179,Iván,Martín Navarro,Mujer,66,Santander,Cantabria,33369,2022-04-14,True,Ocasional
180,Sofía,López Ruiz,Mujer,76,A Coruña,A Coruña,09112,2023-11-29,True,Frecuente
181,Javier,Fernández Moreno,Mujer,45,Salamanca,Salamanca,42235,2022-06-24,True,Normal
182,Miguel,Romero Álvarez,Mujer,76,Valencia,Valencia,19931,2024-01-15,True,Frecuente
183,Ana,Sánchez Álvarez,Mujer,64,Oviedo,Asturias,28340,2023-10-27,False,Ocasional
184,María,García Fernández,Mujer,28,Valencia,Valencia,01336,2022-02-02,True,Ocasional
185,Paula,Martínez Sánchez,Hombre,74,Málaga,Málaga,43933,2022-02-24,False,Normal
186,Miguel,Romero Sánchez,Hombre,77,Murcia,Murcia,20363,2023-06-03,True,Normal
187,Carmen,Ortega Pérez,Mujer,71,Bilbao,Bizkaia,46536,2024-01-26,True,Ocasional
188,Daniel,Castro Muñoz,Mujer,62,Málaga,Málaga,04968,2022-01-12,False,Normal
189,Carlos,López Jiménez,Mujer,50,Barcelona,Barcelona,34678,2023-12-21,False,Normal
190,Carlos,Ortega Romero,Hombre,34,Barcelona,Barcelona,52148,2023-07-09,True,Normal
191,Iván,Díaz Álvarez,Mujer,23,Logroño,La Rioja,49400,2023-01-08,True,Frecuente
192,Álvaro,Torres Gómez,Hombre,21,Madrid,Madrid,17279,2023-04-29,True,Ocasional
193,David,Muñoz Ortega,Mujer,37,Pamplona,Navarra,04129,2024-08-30,True,Ocasional
194,Rubén,Díaz Fernández,Mujer,65,Santander,Cantabria,39215,2023-09-15,True,Normal
195,David,Fernández Gómez,Hombre,64,Santander,Cantabria,39897,2022-11-03,True,Normal
196,Iván,Jiménez Pérez,Hombre,44,Burgos,Burgos,06850,2023-04-02,True,Normal
197,Lucía,Fernández Torres,Mujer,32,León,León,21588,2022-06-09,False,Normal
198,Claudia,Jiménez Fernández,Mujer,23,Málaga,Málaga,41214,2022-11-27,True,Ocasional
199,David,Jiménez López,Mujer,64,Santander,Cantabria,12949,2024-02-15,True,Ocasional
200,Iván,Martín Sánchez,Hombre,31,Pamplona,Navarra,09519,2022-08-13,True,Normal
201,Sergio,Torres Sánchez,Hombre,77,Salamanca,Salamanca,27375,2024-09-09,False,Normal
202,Sara,García García,Hombre,28,Valladolid,Valladolid,34082,2023-12-30,False,Frecuente
203,Carmen,Díaz Martín,Hombre,56,Madrid,Madrid,12737,2024-12-04,True,Frecuente
204,Carlos,Martín Moreno,Hombre,26,Murcia,Murcia,02134,2024-12-18,False,Ocasional
205,Rubén,Ruiz Martínez,Hombre,43,León,León,11938,2023-10-06,True,Normal
206,David,Gómez Muñoz,Mujer,33,Bilbao,Bizkaia,25486,2023-09-08,True,Frecuente
207,Sofía,López Romero,Mujer,22,Pamplona,Navarra,49356,2022-07-14,True,Frecuente
208,Carlos,López Díaz,Hombre,74,Alicante,Alicante,27096,2023-05-04,True,Normal
209,Claudia,Vázquez Ruiz,Mujer,69,Bilbao,Bizkaia,42115,2022-06-06,False,Frecuente
210,Pablo,Sánchez López,Mujer,78,Gijón,Asturias,06592,2023-09-02,False,Frecuente
211,Marta,Moreno Álvarez,Hombre,27,Murcia,Murcia,19108,2023-02-16,True,Normal
212,Carmen,Moreno Navarro,Mujer,67,A Coruña,A Coruña,18270,2023-04-16,False,Normal
213,Sergio,Castro Ruiz,Hombre,20,León,León,28649,2023-05-31,True,Normal
214,Carlos,Pérez Ruiz,Hombre,30,Murcia,Murcia,11997,2023-01-28,True,Normal
215,Jorge,Fernández Moreno,Mujer,60,Santander,Cantabria,34489,2023-09-23,True,Normal
216,Rubén,Moreno Jiménez,Hombre,66,León,León,10104,2023-08-31,True,Normal
217,Laura,Castro García,Hombre,47,Alicante,Alicante,01870,2024-09-06,True,Normal
218,Andrea,Sánchez Sánchez,Hombre,79,León,León,29684,2023-03-10,True,Normal
219,Sara,Moreno Ortega,Hombre,71,Pamplona,Navarra,40519,2023-06-24,True,Normal
220,Jorge,Torres Martín,Hombre,62,Zaragoza,Zaragoza,50649,2022-10-05,True,Ocasional
221,Miguel,Torres Díaz,Hombre,23,A Coruña,A Coruña,35524,2022-08-21,False,Normal
222,Sara,Ruiz Moreno,Hombre,34,Madrid,Madrid,31957,2022-12-28,True,Normal
223,Álvaro,Torres García,Hombre,76,Oviedo,Asturias,34885,2022-01-26,False,Frecuente
224,Julia,Romero Ortega,Mujer,62,León,León,45369,2024-11-14,True,Normal
225,Jorge,Moreno Díaz,Mujer,68,Valladolid,Valladolid,36596,2023-05-22,False,Normal
226,Miguel,Navarro Sánchez,Mujer,70,Zaragoza,Zaragoza,30866,2022-09-24,False,Normal
227,Claudia,Castro Romero,Hombre,36,Logroño,La Rioja,31676,2023-04-06,False,Ocasional
228,Daniel,Martín Sánchez,Hombre,59,Logroño,La Rioja,48764,2023-04-01,True,Normal
229,Jorge,Torres Moreno,Mujer,52,Sevilla,Sevilla,51799,2024-12-27,False,Ocasional
230,Ana,Sánchez Sánchez,Mujer,63,León,León,14878,2024-10-03,True,Normal
231,Andrea,Navarro Torres,Mujer,43,Logroño,La Rioja,40760,2024-05-12,True,Normal
232,Carmen,Pérez Torres,Hombre,68,León,León,28559,2023-05-06,True,Normal
233,Elena,Martín Moreno,Mujer,22,Salamanca,Salamanca,47546,2024-12-08,True,Normal
234,Claudia,Vázquez Romero,Mujer,46,Oviedo,Asturias,07771,2023-07-18,True,Normal
235,Pablo,Moreno Romero,Hombre,54,Logroño,La Rioja,17526,2022-08-04,False,Frecuente
236,Carlos,Romero Pérez,Mujer,37,Oviedo,Asturias,30896,2023-07-13,False,Normal
237,Ana,Jiménez Moreno,Hombre,66,Murcia,Murcia,32923,2022-06-08,True,Normal
238,Carlos,Muñoz Ortega,Hombre,38,Zaragoza,Zaragoza,52913,2023-05-04,False,Frecuente
239,Álvaro,Romero Vázquez,Hombre,27,Alicante,Alicante,37203,2023-11-17,True,Normal
240,Lucía,Ruiz Álvarez,Mujer,22,Salamanca,Salamanca,40390,2024-03-04,False,Frecuente
241,Carlos,Navarro Fernández,Mujer,53,Zaragoza,Zaragoza,13852,2022-01-05,True,Ocasional
242,Paula,Gómez Jiménez,Hombre,23,Murcia,Murcia,48574,2022-12-27,True,Ocasional
243,Paula,Torres Sánchez,Mujer,43,Alicante,Alicante,44391,2023-04-04,False,Ocasional
244,Miguel,Gómez Ortega,Mujer,21,Murcia,Murcia,02848,2022-09-05,False,Normal
245,Julia,Álvarez García,Mujer,79,Madrid,Madrid,32027,2024-08-03,False,Frecuente
246,Sergio,Romero López,Mujer,56,Pamplona,Navarra,36464,2023-02-26,False,Ocasional
247,Andrea,Gómez Pérez,Hombre,56,Málaga,Málaga,35485,2022-01-15,False,Normal
248,Elena,Jiménez Sánchez,Mujer,67,Salamanca,Salamanca,20456,2024-01-06,False,Ocasional
249,Laura,Castro Sánchez,Hombre,52,Málaga,Málaga,10259,2022-10-04,False,Ocasional
250,Marta,Navarro García,Hombre,18,Pamplona,Navarra,36554,2023-03-29,False,Ocasional
251,Daniel,Martín Torres,Mujer,41,Pamplona,Navarra,47922,2023-08-21,True,Normal
252,Lucía,Vázquez Castro,Hombre,74,Murcia,Murcia,14409,2023-03-22,False,Normal
253,Iván,Vázquez Álvarez,Mujer,53,Málaga,Málaga,04791,2022-07-29,True,Ocasional
254,Claudia,Ortega Moreno,Mujer,23,Gijón,Asturias,26864,2023-12-15,False,Normal
255,Marta,Gómez Ruiz,Hombre,58,Madrid,Madrid,37639,2022-10-29,False,Frecuente
256,Laura,López Ortega,Hombre,71,Murcia,Murcia,35574,2022-01-03,False,Normal
257,Jorge,Vázquez Vázquez,Hombre,63,Oviedo,Asturias,18888,2024-09-16,False,Ocasional
258,María,Ruiz Díaz,Hombre,77,Sevilla,Sevilla,20692,2023-06-04,False,Normal
259,Alejandro,Gómez Fernández,Mujer,61,Pamplona,Navarra,24501,2023-05-08,True,Normal
260,Álvaro,Torres Vázquez,Mujer,77,Alicante,Alicante,14304,2023-09-12,False,Frecuente
261,Alejandro,Álvarez Gómez,Mujer,74,Murcia,Murcia,28527,2022-11-27,True,Normal
262,Marta,López Romero,Hombre,48,Vigo,Pontevedra,19074,2022-11-29,True,Ocasional
263,Marta,Moreno Díaz,Hombre,37,León,León,16549,2022-02-19,True,Frecuente
264,Rubén,Muñoz Vázquez,Hombre,41,Vigo,Pontevedra,30963,2024-05-12,True,Normal
265,Javier,Fernández Moreno,Mujer,42,A Coruña,A Coruña,26920,2022-09-29,True,Ocasional
266,Ana,López Pérez,Hombre,53,Burgos,Burgos,31826,2023-08-03,False,Normal
267,Sofía,Sánchez Ortega,Mujer,38,Burgos,Burgos,37071,2023-07-14,True,Normal
268,Iván,Díaz Muñoz,Hombre,47,Barcelona,Barcelona,17061,2023-11-27,True,Normal
269,Rubén,Martín Ortega,Mujer,41,Valencia,Valencia,29810,2023-03-22,True,Normal
270,Elena,Moreno Navarro,Mujer,61,Madrid,Madrid,48966,2024-10-13,True,Normal
271,Rubén,Gómez Vázquez,Hombre,59,Valencia,Valencia,23800,2022-12-23,False,Ocasional
272,Carmen,Romero Ruiz,Hombre,47,Burgos,Burgos,51656,2022-10-01,True,Ocasional
273,Sergio,Torres Martín,Mujer,39,Sevilla,Sevilla,44423,2024-11-08,True,Ocasional
274,Paula,Martínez Vázquez,Mujer,45,Salamanca,Salamanca,42692,2022-11-07,True,Ocasional
275,Laura,Muñoz García,Hombre,24,Vigo,Pontevedra,10940,2024-05-19,True,Normal
276,Ana,Vázquez Martín,Hombre,52,Pamplona,Navarra,04924,2024-06-04,True,Normal
277,Iván,García Pérez,Mujer,72,A Coruña,A Coruña,29054,2022-06-03,True,Normal
278,Marta,Navarro Sánchez,Hombre,45,León,León,10783,2023-09-12,False,Normal
279,Lucía,Muñoz Romero,Mujer,31,Madrid,Madrid,38253,2024-06-01,False,Normal
